repo_full_name,adoption_date,status,created_at,has_post_window,has_pre_window
interagent/prmd,2025-02-06 00:00:00+00:00,ok,2013-12-19 17:45:58+00:00,True,True
w7corp/easywechat,2019-08-13 00:00:00+00:00,ok,2015-01-26 03:30:40+00:00,True,True
shuding/nextra,2022-07-05 00:00:00+00:00,ok,2020-06-15 16:39:34+00:00,True,True
libfuse/libfuse,2023-02-20 00:00:00+00:00,ok,2015-12-19 20:27:34+00:00,True,True
markdownlint/markdownlint,2020-08-08 00:00:00+00:00,ok,2014-06-01 23:05:35+00:00,True,True
strimzi/strimzi-kafka-operator,2019-09-09 00:00:00+00:00,ok,2016-05-06 08:52:33+00:00,True,True
badoo/MVICore,2022-08-03 00:00:00+00:00,ok,2018-03-12 21:50:29+00:00,True,True
watchexec/watchexec,2021-04-10 00:00:00+00:00,ok,2016-09-18 20:41:31+00:00,True,True
memononen/nanovg,2020-12-25 00:00:00+00:00,ok,2013-11-12 07:45:10+00:00,True,True
realm/realm-java,2020-02-05 00:00:00+00:00,ok,2012-04-20 09:18:42+00:00,True,True
go-shiori/shiori,2020-08-06 00:00:00+00:00,ok,2018-01-23 13:57:11+00:00,True,True
ktorio/ktor-samples,2021-11-12 00:00:00+00:00,ok,2018-01-23 13:25:12+00:00,True,True
spf13/afero,2022-07-14 00:00:00+00:00,ok,2014-10-28 14:19:05+00:00,True,True
uxlfoundation/oneTBB,2021-05-07 00:00:00+00:00,ok,2016-09-07 20:42:19+00:00,True,True
spockframework/spock,2020-06-16 00:00:00+00:00,ok,2010-12-12 19:02:34+00:00,True,True
borisdj/EFCore.BulkExtensions,2022-04-18 00:00:00+00:00,ok,2017-05-12 13:50:07+00:00,True,True
LuckyPennySoftware/AutoMapper,2020-07-01 00:00:00+00:00,ok,2010-02-06 15:17:58+00:00,True,True
thiagoalessio/tesseract-ocr-for-php,2020-12-06 00:00:00+00:00,ok,2012-04-08 04:20:07+00:00,True,True
TheAlgorithms/C-Sharp,2019-12-04 00:00:00+00:00,ok,2016-07-29 06:04:43+00:00,True,True
twigphp/Twig,2020-11-05 00:00:00+00:00,ok,2009-10-07 21:23:38+00:00,True,True
icsharpcode/SharpZipLib,2020-08-15 00:00:00+00:00,ok,2010-08-28 18:19:01+00:00,True,True
aws/aws-sdk-php,2020-05-05 00:00:00+00:00,ok,2012-10-17 21:28:32+00:00,True,True
fw876/helloworld,2021-11-14 00:00:00+00:00,ok,2020-04-16 04:02:31+00:00,True,True
YenalyLiew/Han1meViewer,2024-03-20 00:00:00+00:00,ok,2022-08-12 10:34:37+00:00,True,True
ggerganov/kbd-audio,2020-01-12 00:00:00+00:00,ok,2018-08-27 17:19:02+00:00,True,True
esphome/esphome,2020-07-12 00:00:00+00:00,ok,2018-04-06 23:23:25+00:00,True,True
