repo_full_name,reference_month,pre_commits
markodenic/web-development-resources,2024-01-01,118
greenrobot/greenDAO,2020-02-01,10
OpenBMB/MiniCPM-V,2025-05-01,409
leanote/leanote,2020-12-01,7
swiftlang/swift-corelibs-libdispatch,2021-10-01,18
waditu/tushare,2022-11-01,0
bradtraversy/vanillawebprojects,2022-10-01,1
tuguangquan/mybatis,2022-04-01,0
gizak/termui,2022-07-01,0
threat9/routersploit,2020-11-01,7
aleksey-saenko/MusicRecognizer,2025-06-01,172
alda-lang/alda,2020-11-01,338
redox-os/redox,2021-06-01,199
rest-client/rest-client,2022-01-01,0
topameng/tolua,2022-02-01,1
VerbalExpressions/PHPVerbalExpressions,2021-11-01,0
dropbox/hackpad,2022-08-01,0
awangdev/leet-code,2020-07-01,1
getify/Functional-Light-JS,2025-03-01,0
chromiumembedded/cef,2024-06-01,201
adirh3/Fluent-Search,2023-12-01,2
designmodo/Flat-UI,2020-11-01,0
caged/gitnub,2020-02-01,0
hku-mars/FAST-LIVO2,2025-05-01,16
KDE/kdeconnect-android,2021-01-01,338
alibaba/otter,2020-11-01,0
jmoon018/PacVim,2020-09-01,0
GhostPack/Seatbelt,2020-09-01,52
rosuH/AndroidFilePicker,2021-05-01,40
jfeinstein10/SlidingMenu,2021-05-01,0
xai-org/grok-1,2025-08-01,0
rinvex/countries,2021-09-01,18
FreyaHolmer/ShaderForge,2021-08-01,1
slack-notifier/slack-notifier,2022-08-01,0
smartstore/SmartStoreNET,2020-03-01,1072
naman14/TimberX,2020-05-01,2
jeecgboot/jimureport,2021-05-01,107
hindupuravinash/the-gan-zoo,2021-06-01,0
NVIDIA/open-gpu-kernel-modules,2024-09-01,22
eduard-permyakov/permafrost-engine,2019-08-01,185
hakimel/Ladda,2023-03-01,0
LaravelCollective/html,2022-04-01,2
trickster0/OffensiveRust,2024-03-01,8
bugaevc/wl-clipboard,2024-03-01,49
mailboxer/mailboxer,2021-12-01,0
wjakob/instant-meshes,2025-02-01,0
purifycss/purifycss,2022-03-01,0
luin/medis,2019-12-01,55
hbons/SparkleShare,2019-08-01,30
521xueweihan/HelloGitHub,2025-08-01,26
Stability-AI/StableSwarmUI,2025-04-01,499
bgstaal/multipleWindow3dScene,2025-03-01,0
x360ce/x360ce,2020-10-01,120
php-fig/event-dispatcher,2021-02-01,5
gabrielrcouto/php-gui,2024-05-01,0
Meituan-Dianping/Logan,2023-08-01,30
saiwu-bigkoo/Android-ConvenientBanner,2023-09-01,0
square/maximum-awesome,2020-05-01,6
OpenMOSS/MOSS,2024-06-01,8
peng-zhihui/HelloWord-Keyboard,2023-12-01,6
Meituan-Dianping/mpvue,2021-07-01,0
EastWorld/wechat-app-mall,2024-07-01,25
gabrielecirulli/2048,2019-12-01,0
max-mapper/art-of-node,2022-11-01,0
XIU2/UserScript,2025-03-01,300
haizlin/fe-interview,2024-01-01,220
PistonDevelopers/piston,2020-05-01,73
ssssssss-team/spider-flow,2023-02-01,15
contiki-os/contiki,2022-03-01,0
