treated_repo,control_repo,language,adoption_date,adoption_month,treated_created_at,control_created_at,metadata_distance,treated_pre_commits,control_pre_commits,treated_age_at_index_days,control_age_at_index_days,diff_log_pre_commits,diff_age_days,refined_distance
carloscuesta/gitmoji,utterance/utterances,TypeScript,2020-11-03 00:00:00+00:00,2020-11-01,2016-10-21 09:36:02,2017-04-23 04:02:12,1.251266868334588,110,53,1471,1287,0.7205461547480594,184,3.3737144254623104
rusterlium/rustler,PistonDevelopers/piston,Rust,2019-10-19 00:00:00+00:00,2019-10-01,2015-08-18 16:25:26,2014-04-24 09:18:05,0.04451863046951601,97,101,1504,1985,0.04000533461369837,481,3.399604978131591
laravel/horizon,mpociot/laravel-apidoc-generator,PHP,2020-02-21 00:00:00+00:00,2020-02-01,2017-07-14 15:26:27,2016-05-03 20:20:16,0.3559472842436634,315,453,931,1368,0.36235498445443604,437,3.4593044000873783
matz/streem,emojicode/emojicode,C,2020-12-26 00:00:00+00:00,2020-12-01,2014-12-11 08:07:50,2015-12-31 19:34:43,0.6375965072603129,16,27,2181,1796,0.49899116611898764,385,3.469122234385241
vuejs/vuepress,haizlin/fe-interview,JavaScript,2020-07-25 00:00:00+00:00,2020-07-01,2018-04-05 16:58:38,2019-04-17 03:05:58,0.4765027349561034,316,535,817,440,0.5252323871935216,377,3.4975659861792656
emgucv/emgucv,googleprojectzero/sandbox-attacksurface-analysis-tools,C#,2020-07-07 00:00:00+00:00,2020-07-01,2017-01-04 19:23:13,2015-10-23 03:04:22,0.28517953714412353,483,726,1273,1712,0.4068415708168871,439,3.562733558028914
google-deepmind/lab,stanfordnlp/GloVe,C,2020-11-17 00:00:00+00:00,2020-11-01,2016-11-30 13:41:26,2015-09-01 17:21:18,0.10394461406751047,28,41,1431,1887,0.37037378829689427,456,3.594701205333195
tvheadend/tvheadend,libopencm3/libopencm3,C,2022-04-11 00:00:00+00:00,2022-04-01,2010-12-30 12:45:11,2012-04-18 16:51:38,0.17027514383899353,64,46,4109,3634,0.32423966818557837,475,3.6338434043862726
beeradmoore/dlss-swapper,Ponderfly/GoogleTranslateIpCheck,C#,2024-02-11 00:00:00+00:00,2024-02-01,2021-08-07 00:33:57,2022-10-26 15:40:36,1.1412272489511968,52,33,907,462,0.4439313889359604,445,3.6805686127282806
TheAlgorithms/Kotlin,naman14/TimberX,Kotlin,2020-10-08 00:00:00+00:00,2020-10-01,2019-03-23 20:03:53,2018-05-13 19:22:32,0.18899190107086958,15,7,557,871,0.6931471805599454,314,3.7261619784443067
KhronosGroup/Vulkan-Samples,XiaoMi/mace,C++,2020-11-05 00:00:00+00:00,2020-11-01,2019-10-29 16:10:56,2018-06-27 03:50:12,0.09422605885980112,129,188,368,857,0.3742125646040604,489,3.81169597123619
testing-library/react-testing-library,zhaoolee/ChineseBQB,JavaScript,2020-11-14 00:00:00+00:00,2020-11-01,2018-03-19 13:39:49,2019-05-08 05:39:41,0.44515554058691975,104,196,957,542,0.6292433785804654,415,3.9968458908302127
elves/elvish,alda-lang/alda,Go,2021-02-10 00:00:00+00:00,2021-02-01,2013-06-16 08:43:32,2014-08-26 04:07:53,0.15557292597499034,656,354,2786,2350,0.615566229009195,436,4.0678326781115395
jboss-javassist/javassist,JetBrains/fernflower,Java,2021-05-06 00:00:00+00:00,2021-05-01,2013-05-24 08:31:32,2014-10-03 05:00:15,0.04230782685129791,16,29,2898,2401,0.5679840376059393,497,4.281506554754683
conventional-changelog/conventional-changelog,yiminghe/async-validator,TypeScript,2019-11-28 00:00:00+00:00,2019-11-01,2014-01-04 21:18:33,2015-03-10 03:04:31,0.15555511797353183,136,61,2126,1696,0.7928465407830334,430,4.5772125821148295
