treated_repo,control_repo,adoption_date,reference_month
xiph/flac,symfony/expression-language,2020-04-06 00:00:00+00:00,2020-04-01
mizzy/serverspec,Justson/AgentWeb,2025-04-24 00:00:00+00:00,2025-04-01
neo4jrb/activegraph,symfony/dependency-injection,2021-02-06 00:00:00+00:00,2021-02-01
edent/SuperTinyIcons,BlinkDL/RWKV-LM,2022-12-31 00:00:00+00:00,2022-12-01
android/architecture-samples,jaakkopasanen/AutoEq,2020-09-29 00:00:00+00:00,2020-09-01
microsoft/calculator,zhujiang521/PlayAndroid,2024-06-21 00:00:00+00:00,2024-06-01
rubycdp/cuprite,yhzhang0128/egos-2000,2021-02-16 00:00:00+00:00,2021-02-01
TheAlgorithms/Rust,utterance/utterances,2021-02-15 00:00:00+00:00,2021-02-01
json-path/JsonPath,tensorflow/playground,2020-12-23 00:00:00+00:00,2020-12-01
emirpasic/gods,bytedance/bhook,2022-04-13 00:00:00+00:00,2022-04-01
ArisGuimera/SimpleAndroidMVVM,Netflix/dynomite,2022-12-22 00:00:00+00:00,2022-12-01
Shopify/job-iteration,mlandauer/cuttlefish,2021-02-19 00:00:00+00:00,2021-02-01
grpc-ecosystem/go-grpc-middleware,symfony/contracts,2020-06-18 00:00:00+00:00,2020-06-01
natemcmaster/CommandLineUtils,binarylogic/settingslogic,2021-01-10 00:00:00+00:00,2021-01-01
Devolutions/IronRDP,mit-pdos/xv6-riscv,2022-04-15 00:00:00+00:00,2022-04-01
amacneil/dbmate,php-fig/log,2020-08-07 00:00:00+00:00,2020-08-01
prawnpdf/prawn,FelixKratz/SketchyBar,2019-11-17 00:00:00+00:00,2019-11-01
cure53/DOMPurify,FongMi/TV,2020-04-19 00:00:00+00:00,2020-04-01
Kotlin/kmp-production-sample,mpitutorial/mpitutorial,2025-06-13 00:00:00+00:00,2025-06-01
sebastianbergmann/version,hanslub42/rlwrap,2023-01-27 00:00:00+00:00,2023-01-01
apache/storm,robfig/cron,2023-03-08 00:00:00+00:00,2023-03-01
cefsharp/CefSharp,AutoHotkey/AutoHotkey,2020-10-24 00:00:00+00:00,2020-10-01
ryanb/ruby-warrior,ovity/octotree,2024-03-27 00:00:00+00:00,2024-03-01
facebookincubator/velox,symfony/doctrine-bridge,2022-10-05 00:00:00+00:00,2022-10-01
TrestleAdmin/trestle,pry/pry-rails,2022-08-03 00:00:00+00:00,2022-08-01
thoughtbot/high_voltage,moby/hyperkit,2023-03-17 00:00:00+00:00,2023-03-01
BurntSushi/quickcheck,TranslucentTB/TranslucentTB,2020-01-11 00:00:00+00:00,2020-01-01
apache/logging-log4j2,cgsecurity/testdisk,2020-08-20 00:00:00+00:00,2020-08-01
super-productivity/super-productivity,v8/v8,2020-10-01 00:00:00+00:00,2020-10-01
kanwei/algorithms,openblockchains/awesome-blockchains,2025-04-15 00:00:00+00:00,2025-04-01
sockjs/sockjs-client,symfony/cache-contracts,2020-08-02 00:00:00+00:00,2020-08-01
vovgou/loxodon-framework,openai/swarm,2021-11-20 00:00:00+00:00,2021-11-01
matz/streem,skeeto/endlessh,2020-12-26 00:00:00+00:00,2020-12-01
DapperLib/Dapper,markodenic/web-development-resources,2020-10-16 00:00:00+00:00,2020-10-01
dotnet/samples,aleksey-saenko/MusicRecognizer,2020-01-09 00:00:00+00:00,2020-01-01
jasonlong/geo_pattern,GhostPack/Seatbelt,2020-07-20 00:00:00+00:00,2020-07-01
LuckyPennySoftware/MediatR,rinvex/countries,2020-01-30 00:00:00+00:00,2020-01-01
0xAX/linux-insides,trickster0/OffensiveRust,2025-08-24 00:00:00+00:00,2025-08-01
